Date,District,Address,Transaction Price,Sq Price,Area,Source,Link
2025-11-18,Kwai Chung,"Flat A, 15/F, Kwai Fu Building",HKD$1.78 Millions,"@$6,138",290ft²,LAND,https://www.28hse.com/en/estate/detail/kwai-fu-building-6471/transaction/deal-1472535
2025-11-18,Tuen Mun,"Flat E, 17/F, Tower 2",HKD$4.78 Millions,"@$10,694",447ft²,LAND,https://www.28hse.com/en/estate/detail/the-seacrest-4427/transaction/deal-1472531
2025-11-18,Tsuen Wan,"Flat F, 21/F, Victory Court",HKD$3.3 Millions,-,,LAND,https://www.28hse.com/en/estate/detail/victory-court-4618/transaction/deal-1472529
2025-11-18,FanLing,"Flat E, 18/F, Block 12",HKD$4.28 Millions,"@$11,146",384ft²,LAND,https://www.28hse.com/en/estate/detail/dawning-views-4170/transaction/deal-1472526
2025-11-18,FanLing,"Flat D, Middle, Block 10, Dawning Views",HKD$4.25 Millions,"@$11,068",384ft²,CENTANET,https://www.28hse.com/en/estate/detail/dawning-views-4170/transaction/deal-1472525
2025-11-18,Yuen Long,"Flat 8, 17/F, Block B",HKD$2.81 Millions,"@$10,485",268ft²,LAND,https://www.28hse.com/en/estate/detail/ho-shun-yee-building-4288/transaction/deal-1472523
2025-11-18,Yuen Long,"Flat C, 27/F, Tower 3",HKD$5.28 Millions,"@$10,096",523ft²,LAND,https://www.28hse.com/en/estate/detail/park-signature-8155/transaction/deal-1472522
2025-11-18,Tai Po,"Flat J, 18/F, Tower 8",HKD$4.428 Millions,"@$11,871",373ft²,LAND,https://www.28hse.com/en/estate/detail/the-regent-22902/transaction/deal-1472515
2025-11-18,Tseung Kwan O,"Flat 9, 31/F, Kwong Lung House--block B",HKD$5.2 Millions,"@$6,139",,LAND,https://www.28hse.com/en/estate/detail/kwong-ming-court-4039/transaction/deal-1472514
2025-11-18,Po Lam,"Flat F, 8/F, Block 2",HKD$4.248 Millions,-,,LAND,https://www.28hse.com/en/estate/detail/verbena-heights-4019/transaction/deal-1472512
2025-11-18,Tuen Mun,"Flat 1, 3/F, Tower 1",HKD$2.82 Millions,"@$9,126",309ft²,LAND,https://www.28hse.com/en/estate/detail/goodview-garden-4419/transaction/deal-1472508
2025-11-18,Tuen Mun,"Flat 7, 10/F, Tower 2",HKD$3.498 Millions,"@$7,038",,LAND,https://www.28hse.com/en/estate/detail/goodview-garden-4419/transaction/deal-1472507
2025-11-18,Ma On Shan,"Flat 1, 26/F, Kam Yiu House--block J",HKD$3.1 Millions,"@$4,354",,LAND,https://www.28hse.com/en/estate/detail/kam-ying-court-4055/transaction/deal-1472505
2025-11-18,Ma On Shan,"Flat C, 30/F, Tower 4",HKD$6.25 Millions,"@$10,331",605ft²,LAND,https://www.28hse.com/en/estate/detail/park-belvedere-4056/transaction/deal-1472503
2025-11-18,Yuen Long,"Flat A, 17/F, Tower 3",HKD$4.32 Millions,"@$10,435",414ft²,LAND,https://www.28hse.com/en/estate/detail/the-reach-7742/transaction/deal-1472502
2025-11-18,Yuen Long,"Flat F, 8/F, Tower 3",HKD$3.82 Millions,"@$10,700",357ft²,LAND,https://www.28hse.com/en/estate/detail/the-reach-7742/transaction/deal-1472501
2025-11-18,Tuen Mun,"Flat H, 8/F, Block 4",HKD$3.96 Millions,"@$7,374",537ft²,LAND,https://www.28hse.com/en/estate/detail/kam-fai-garden-4434/transaction/deal-1472498
2025-11-18,Hung Shui Kiu,"Flat B1, 2/F, Block 8",HKD$3.99 Millions,-,,LAND,https://www.28hse.com/en/estate/detail/parkview-garden-24680/transaction/deal-1472497
2025-11-18,Tsing Yi,"Flat C, 15/F, Block 3",HKD$9 Millions,"@$13,514",666ft²,LAND,https://www.28hse.com/en/estate/detail/villa-esplanada-4651/transaction/deal-1472496
2025-11-18,Tsing Yi,"Flat 14, 30/F, Ching Nga Court",HKD$3.69 Millions,"@$8,330",443ft²,LAND,https://www.28hse.com/en/estate/detail/ching-nga-court-4681/transaction/deal-1472495
2025-11-14,Yuen Long,"Flat A, 1/F, Block I",HKD$2.16 Millions,"@$5,131",421ft²,LAND,https://www.28hse.com/en/estate/detail/kam-shing-building-25229/transaction/deal-1471710
2025-11-14,Yuen Long,"Flat A, 6/F, Tower 5",HKD$3.95 Millions,"@$9,541",414ft²,LAND,https://www.28hse.com/en/estate/detail/the-reach-7742/transaction/deal-1471709
2025-11-14,Tin Shui Wai,"Flat B1, High, Tower 16, Phase 1",HKD$5.33 Millions,"@$10,350",515ft²,CENTANET,https://www.28hse.com/en/estate/detail/wetland-seasons-park-23684/transaction/deal-1471701
2025-11-14,Tin Shui Wai,"Flat 2, 11/F, Block B",HKD$3 Millions,"@$7,979",376ft²,LAND,https://www.28hse.com/en/estate/detail/ping-yan-court-25956/transaction/deal-1471690
2025-11-14,Ma On Shan,"Flat 5, 14/F, Block C",HKD$2.7 Millions,"@$8,599",314ft²,LAND,https://www.28hse.com/en/estate/detail/kam-chun-court-28294/transaction/deal-1471687
2025-11-14,Ma On Shan,"Flat 11, High, Block D (chun Kui House), Kam Chun Court",HKD$4.35 Millions,"@$9,732",447ft²,CENTANET,https://www.28hse.com/en/estate/detail/kam-chun-court-28294/transaction/deal-1471686
2025-11-14,Tsuen Wan Sham Tseng,"Flat C, 41/F, Tower 8",HKD$9.85 Millions,"@$11,055",891ft²,LAND,https://www.28hse.com/en/estate/detail/bellagio-4540/transaction/deal-1471684
