Date,District,Address,Transaction Price,Sq Price,Area,Source,Link
2023-10-08,Nam Cheong,"Flat C, High, Tower 2b, Phase 2a","HKD$21,000 ",@$58,363ft²,CENTANET,https://www.28hse.com/en/estate/detail/cullinan-west-27511/transaction/rent/deal-605938
2023-10-08,Yuen Long,"Flat D, Low, Block 2","HKD$12,500 ",@$28,450ft²,MIDLAND,https://www.28hse.com/en/estate/detail/la-grove-4400/transaction/rent/deal-604635
2023-10-08,Nam Cheong,"Flat C, High, Tower 2b, Phase 2a","HKD$21,000 ",@$58,363ft²,CENTANET,https://www.28hse.com/en/estate/detail/cullinan-west-27511/transaction/rent/deal-603849
2023-10-08,Tung Chung,"Flat H, Low, Block 6, Phase 1","HKD$14,500 ",@$30,490ft²,MIDLAND,https://www.28hse.com/en/estate/detail/le-bleu-4718/transaction/rent/deal-601975
2023-10-08,Tuen Mun,"Flat G, Low, Block 8, Phase 2","HKD$14,500 ",@$38,379ft²,MIDLAND,https://www.28hse.com/en/estate/detail/century-gateway-7282/transaction/rent/deal-601822
2023-10-08,Nam Cheong,"Flat C, High, Tower 2b, Phase 2a","HKD$21,000 ",@$58,363ft²,CENTANET,https://www.28hse.com/en/estate/detail/cullinan-west-27511/transaction/rent/deal-599715
2023-10-08,Ma On Shan,"Flat C, Middle, Block 08, Phase 2","HKD$21,000 ",@$28,755ft²,MIDLAND,https://www.28hse.com/en/estate/detail/vista-paradiso-4041/transaction/rent/deal-595205
2023-10-08,Tung Chung,"Flat F, Low, Block 3","HKD$15,000 ",@$28,531ft²,MIDLAND,https://www.28hse.com/en/estate/detail/seaview-crescent-4712/transaction/rent/deal-593563
2023-10-08,Kwun Tong,"Flat A, High, Foo Yue Building","HKD$9,800 ",@$39,249ft²,MIDLAND,https://www.28hse.com/en/estate/detail/foo-yue-building-5438/transaction/rent/deal-593562
2023-10-08,Western mid-levels,"Flat A, Low, Central 8","HKD$14,500 ",@$80,181ft²,MIDLAND,https://www.28hse.com/en/estate/detail/central-8-23382/transaction/rent/deal-591717
2023-10-08,Yuen Long,"Flat J, High, Tower 1, Phase B","HKD$13,500 ",@$42,323ft²,CENTANET,https://www.28hse.com/en/estate/detail/the-yoho-hub-23686/transaction/rent/deal-591619
2023-10-08,Nam Cheong,"Flat J, Low, Tower 2b, Phase 2a","HKD$19,500 ",@$51,381ft²,MIDLAND,https://www.28hse.com/en/estate/detail/cullinan-west-27511/transaction/rent/deal-590685
